Metabolite;Volume;Time;GF mice BRV data;Used for fitting
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;3;0.261;
P_si1;0.3;5;0.281;
P_si1;0.3;7;0.075;
P_si1;0.3;9;0.012;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;3;0.787;
P_si2;0.3;5;0.176;
P_si2;0.3;7;0.066;
P_si2;0.3;9;0.04;
P_si3;0.3;0;0;0
P_si3;0.3;0.5;NaN;NaN
P_si3;0.3;1;NaN;NaN
P_si3;0.3;1.5;NaN;NaN
P_si3;0.3;2;NaN;NaN
P_si3;0.3;3;0.373;0.373
P_si3;0.3;5;0.158;0.158
P_si3;0.3;7;0.088;0.088
P_si3;0.3;9;0.061;0.061
P_serum;8;0;0;0
P_serum;8;0.5;0.157;0.157
P_serum;8;1;0.104;0.104
P_serum;8;1.5;0.058;0.058
P_serum;8;2;0.066;0.066
P_serum;8;3;0.035;0.035
P_serum;8;5;0.017;0.017
P_serum;8;7;0.01;0.01
P_serum;8;9;0.004;0.004
M_serum;8;0;0;0
M_serum;8;0.5;0.048;0.048
M_serum;8;1;0.038;0.038
M_serum;8;1.5;0.023;0.023
M_serum;8;2;0.042;0.042
M_serum;8;3;0.028;0.028
M_serum;8;5;0.011;0.011
M_serum;8;7;0.009;0.009
M_serum;8;9;0.006;0.006
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;3;0.033;0.033
P_cecum;3;5;0.045;0.045
P_cecum;3;7;0.102;0.102
P_cecum;3;9;0.102;0.102
M_cecum;3;0;0;
M_cecum;3;0.5;NaN;
M_cecum;3;1;NaN;
M_cecum;3;1.5;NaN;
M_cecum;3;2;NaN;
M_cecum;3;3;0.008;
M_cecum;3;5;0.004;
M_cecum;3;7;0.005;
M_cecum;3;9;0.003;
P_colon;3;0;0;0
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;3;0.048;0.048
P_colon;3;5;0.061;0.061
P_colon;3;7;0.149;0.149
P_colon;3;9;0.139;0.139
M_colon;3;0;0;
M_colon;3;0.5;NaN;
M_colon;3;1;NaN;
M_colon;3;1.5;NaN;
M_colon;3;2;NaN;
M_colon;3;3;0.009;
M_colon;3;5;0.004;
M_colon;3;7;0.005;
M_colon;3;9;0.004;
P_feces;3;0;0;0
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;3;0.088;0.088
P_feces;3;5;0.071;0.071
P_feces;3;7;0.242;0.242
P_feces;3;9;0.166;0.166
M_feces;3;0;0;
M_feces;3;0.5;NaN;
M_feces;3;1;NaN;
M_feces;3;1.5;NaN;
M_feces;3;2;NaN;
M_feces;3;3;0.015;
M_feces;3;5;0.005;
M_feces;3;7;0.008;
M_feces;3;9;0.004;