Metabolite;Volume;Time;GF mice CLZ data;Used for fitting
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;2.5;NaN;
P_si1;0.3;3;4.328;
P_si1;0.3;5;5.23;
P_si1;0.3;7;2.521;
P_si1;0.3;9;8.823;
P_si1;0.3;12;1.621;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;2.5;NaN;
P_si2;0.3;3;9.836;
P_si2;0.3;5;1.913;
P_si2;0.3;7;1.057;
P_si2;0.3;9;1.53;
P_si2;0.3;12;0.94;
P_si3;0.3;0;0;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;2.5;NaN;
P_si3;0.3;3;2.268;
P_si3;0.3;5;0.905;
P_si3;0.3;7;1.699;
P_si3;0.3;9;1.065;
P_si3;0.3;12;0.939;
P_serum;30;0;0;0
P_serum;30;0.5;0.867;0.867
P_serum;30;1;1.335;1.335
P_serum;30;1.5;1.122;1.122
P_serum;30;2;1.442;1.442
P_serum;30;2.5;1.088;1.088
P_serum;30;3;0.929;0.929
P_serum;30;5;0.869;0.869
P_serum;30;7;0.614;0.614
P_serum;30;9;0.665;0.665
P_serum;30;12;0.349;0.349
M_serum;30;0;0.003;0.003
M_serum;30;0.5;0.019;0.019
M_serum;30;1;0.031;0.031
M_serum;30;1.5;0.03;0.03
M_serum;30;2;0.051;0.051
M_serum;30;2.5;0.038;0.038
M_serum;30;3;0.17;0.17
M_serum;30;5;0.119;0.119
M_serum;30;7;0.071;0.071
M_serum;30;9;0.066;0.066
M_serum;30;12;0.027;0.027
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;2.5;NaN;NaN
P_cecum;3;3;0.367;0.367
P_cecum;3;5;0.462;0.462
P_cecum;3;7;0.484;0.484
P_cecum;3;9;0.522;0.522
P_cecum;3;12;0.244;0.244
M_cecum;3;0;0.102;
M_cecum;3;0.5;NaN;
M_cecum;3;1;NaN;
M_cecum;3;1.5;NaN;
M_cecum;3;2;NaN;
M_cecum;3;2.5;NaN;
M_cecum;3;3;0.145;
M_cecum;3;5;0.175;
M_cecum;3;7;0.175;
M_cecum;3;9;0.177;
M_cecum;3;12;0.157;
P_colon;3;0;0;0
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;2.5;NaN;NaN
P_colon;3;3;0.389;0.389
P_colon;3;5;0.356;0.356
P_colon;3;7;0.267;0.267
P_colon;3;9;0.358;0.358
P_colon;3;12;0.134;0.134
M_colon;3;0;0.075;
M_colon;3;0.5;NaN;
M_colon;3;1;NaN;
M_colon;3;1.5;NaN;
M_colon;3;2;NaN;
M_colon;3;2.5;NaN;
M_colon;3;3;0.131;
M_colon;3;5;0.172;
M_colon;3;7;0.111;
M_colon;3;9;0.115;
M_colon;3;12;0.098;
P_feces;3;0;0;0
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;2.5;NaN;NaN
P_feces;3;3;0.425;0.425
P_feces;3;5;0.456;0.456
P_feces;3;7;0.388;0.388
P_feces;3;9;0.411;0.411
P_feces;3;12;0.217;0.217
M_feces;3;0;0.086;
M_feces;3;0.5;NaN;
M_feces;3;1;NaN;
M_feces;3;1.5;NaN;
M_feces;3;2;NaN;
M_feces;3;2.5;NaN;
M_feces;3;3;0.084;
M_feces;3;5;0.128;
M_feces;3;7;0.123;
M_feces;3;9;0.12;
M_feces;3;12;0.097;