Metabolite;Volume;Time;CV mice SRV data;Used for fitting
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;3;0.307;
P_si1;0.3;5;0.083;
P_si1;0.3;7;0.068;
P_si1;0.3;9;0.226;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;3;0.707;
P_si2;0.3;5;0.216;
P_si2;0.3;7;0.185;
P_si2;0.3;9;0.242;
P_si3;0.3;0;0;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;3;1.559;
P_si3;0.3;5;0.676;
P_si3;0.3;7;0.284;
P_si3;0.3;9;0.274;
P_serum;22;0;0;
P_serum;22;0.5;0.129;
P_serum;22;1;0.109;
P_serum;22;1.5;0.119;
P_serum;22;2;0.086;
P_serum;22;3;0.074;
P_serum;22;5;0.032;
P_serum;22;7;0.022;
P_serum;22;9;0.021;
M_serum;22;0;0;
M_serum;22;0.5;0.002;
M_serum;22;1;0.002;
M_serum;22;1.5;0.005;
M_serum;22;2;0.005;
M_serum;22;3;0.004;
M_serum;22;5;0.007;
M_serum;22;7;0.007;
M_serum;22;9;0.005;
P_cecum;0.25;0;0;
P_cecum;0.25;0.5;NaN;
P_cecum;0.25;1;NaN;
P_cecum;0.25;1.5;NaN;
P_cecum;0.25;2;NaN;
P_cecum;0.25;3;0.475;
P_cecum;0.25;5;0.555;
P_cecum;0.25;7;0.333;
P_cecum;0.25;9;0.38;
M_cecum;0.25;0;0;
M_cecum;0.25;0.5;NaN;
M_cecum;0.25;1;NaN;
M_cecum;0.25;1.5;NaN;
M_cecum;0.25;2;NaN;
M_cecum;0.25;3;0.016;
M_cecum;0.25;5;0.022;
M_cecum;0.25;7;0.02;
M_cecum;0.25;9;0.015;
P_colon;0.25;0;0;0
P_colon;0.25;0.5;NaN;NaN
P_colon;0.25;1;NaN;NaN
P_colon;0.25;1.5;NaN;NaN
P_colon;0.25;2;NaN;NaN
P_colon;0.25;3;0.697;0.475
P_colon;0.25;5;0.841;0.555
P_colon;0.25;7;0.635;0.333
P_colon;0.25;9;0.638;0.38
M_colon;0.25;0;0;0
M_colon;0.25;0.5;NaN;NaN
M_colon;0.25;1;NaN;NaN
M_colon;0.25;1.5;NaN;NaN
M_colon;0.25;2;NaN;NaN
M_colon;0.25;3;0.036;0.016
M_colon;0.25;5;0.041;0.022
M_colon;0.25;7;0.045;0.02
M_colon;0.25;9;0.041;0.015
P_feces;0.25;0;0;0
P_feces;0.25;0.5;NaN;NaN
P_feces;0.25;1;NaN;NaN
P_feces;0.25;1.5;NaN;NaN
P_feces;0.25;2;NaN;NaN
P_feces;0.25;3;0.076;0.697
P_feces;0.25;5;1.131;0.841
P_feces;0.25;7;0.936;0.635
P_feces;0.25;9;1.038;0.638
M_feces;0.25;0;0;0
M_feces;0.25;0.5;NaN;NaN
M_feces;0.25;1;NaN;NaN
M_feces;0.25;1.5;NaN;NaN
M_feces;0.25;2;NaN;NaN
M_feces;0.25;3;0.021;0.036
M_feces;0.25;5;0.065;0.041
M_feces;0.25;7;0.07;0.045
M_feces;0.25;9;0.068;0.041